_id,bathrooms,bedrooms,beds,business_travel_ready,city,host_languages,latitude,longitude,monthly_price_factor,name,neighborhood,new_listing,person_capacity,price_rate,price_rate_type,property_type,refundable,reviews_count,room_type,scrim_color,section_offset,star_rating,superhost,tier_id,user_id,user_name,verified,weekly_price_factor
12453502,2.0,3,4,False,South Kuta,"en,es,id,ja,pt,zh",-8.808319526425766,115.11842817813294,0.74,Shabby-Chic Bali Family Villa - 5 min to the beach,South Kuta/Bukit Peninsula,False,6,134,nightly,11,False,10,entire_home,#2A3C30,1,4.5,False,0,4266227,"Jing, Wayana + Bukit Vista Hosts",False,0.85
19507105,1.0,1,1,False,Kuta Selatan,"en,id,ms",-8.829214504239307,115.1452187504955,0.8,One Bedroom Private Villa on the Hill - Ungasan,South Kuta/Bukit Peninsula,False,2,135,nightly,11,False,0,private_room,#2B3127,1,,False,0,62868685,Hafidz,False,0.85
23133337,3.0,3,3,False,Kuta Selatan,,-8.839685820767897,115.16374978392177,1.0,HRDV 3BR Luxury Villa Ungasan 10 min Pandawa Beach,South Kuta/Bukit Peninsula,True,6,284,nightly,11,False,0,entire_home,#252A40,1,,True,0,24638292,Endah,False,1.0
18181918,7.0,6,6,False,Kuta Selatan,"cs,de,en,es,fr,id,it,ru",-8.839067948593993,115.15263568539588,1.0,Wardana Villa - jl Karma Kandara,South Kuta/Bukit Peninsula,False,12,278,nightly,11,False,0,entire_home,#1D1A09,1,,False,0,7015832,Cyrrus,False,0.64
19189867,4.0,4,6,False,Kuta Selatan,ru,-8.825885321739763,115.15141073277904,0.7,Stylish villa in heart of Bukit over 10are land.,South Kuta/Bukit Peninsula,False,10,288,nightly,2,False,0,entire_home,#121711,1,,False,0,5618803,Nikita,False,0.93
20936270,2.0,2,2,False,Kuta Selatan,"en,id",-8.838409145452381,115.1652997787966,1.0,2 Bedroom Villas Kinori at Jimbaran || Brand New,South Kuta/Bukit Peninsula,False,4,288,nightly,11,False,0,entire_home,#261F17,1,,False,0,14620366,"Eva, Maya And Gusto",False,1.0
22840339,3.0,3,4,False,Kuta Selatan,"de,en,es,id",-8.811621372505966,115.20062323250808,0.75,Luxurious Eagle's Nest Villa at Kampial,South Kuta/Bukit Peninsula,False,7,127,nightly,11,False,7,entire_home,#181818,1,4.5,False,0,16808113,Lunardi,False,0.9
4881518,4.0,3,3,True,South Kuta,"en,id,ja",-8.806233243590423,115.11305184537179,0.9,Beach Town Garden Villa with Balinese charm #VP3,South Kuta/Bukit Peninsula,False,6,127,nightly,11,False,43,entire_home,#525542,1,4.5,False,0,4285989,Wayana & Bukit Vista Hosts,False,0.9
14480860,1.0,1,1,False,Kuta Selatan,"en,id,ja",-8.814674806844916,115.09321921457868,1.0,Million$ SeaView cabins above Ocean Cliffs #OS4,South Kuta/Bukit Peninsula,False,2,131,nightly,4,False,4,entire_home,#3A4837,1,5.0,False,0,4285989,Wayana & Bukit Vista Hosts,False,1.0
22111911,1.0,1,2,False,Kuta Selatan,"en,id,pt,zh",-8.815880628784198,115.09453790773475,1.0,Tranquil Wood Bungalow in Uluwatu area,South Kuta/Bukit Peninsula,False,3,125,nightly,43,False,0,private_room,#1C1B17,1,,False,0,33886302,Jing & Bukit Vista Hospitality Team,False,1.0
